seller_id,seller_state,seller_city,eligible_n,late_n,on_time_n_date,lfr_date,lfr_date_pct,late_over_eligible,late_n_ts,lfr_timestamp,lfr_timestamp_pct,median_days_vs_estimate,median_days_late,eligible_n_jan_apr,late_n_jan_apr,lfr_jan_apr,eligible_n_may_aug,late_n_may_aug,lfr_may_aug,eligible_n_single,late_n_single,lfr_single_seller,multi_seller_order_n,multi_seller_order_share,item_revenue,item_revenue_plus_freight,anomaly_n,meets_volume_floor,volume_band,n_floor_sellers,peer_weighted_mkt_lfr,peer_equal_wt_lfr,peer_p25_lfr,peer_median_lfr,peer_p75_lfr,peer_p90_lfr,peer_p95_lfr,pass_p75,pass_p90,attribution_conflict,date_ts_action_conflict,split_window_unstable,raise_bar_to_p90,rank_if_candidate,action,action_reason
056b4ada5bbc2c50cc7842547dda6b51,RJ,queimados,60,7,53,0.1166666667,11.7,7 / 60,7,0.1166666667,11.7,-14.5000,11.0000,12,3,0.2500000000,48,4,0.0833333333,60,7,0.1166666667,0,0.0000000000,11207.42,12428.60,0,1,50_99,393,0.0780768749,0.07638571932468,0.0356083086,0.0666666667,0.1016949153,0.1428571429,0.1752577320,1,0,0,1,0,1,68,inconclusive,date_vs_timestamp_action_conflict
7d13fca15225358621be4086e1eb0964,SP,ribeirao preto,558,64,494,0.1146953405,11.5,64 / 558,68,0.1218637993,12.2,-12.0000,8.0000,226,39,0.1725663717,332,25,0.0753012048,548,64,0.1167883212,10,0.0179211470,112436.18,120934.47,0,1,100_plus,393,0.0780768749,0.07638571932468,0.0356083086,0.0666666667,0.1016949153,0.1428571429,0.1752577320,1,0,0,1,0,1,71,inconclusive,date_vs_timestamp_action_conflict
972d0f9cf61b499a4812cf0bfa3ad3c4,SC,brusque,62,7,55,0.1129032258,11.3,7 / 62,7,0.1129032258,11.3,-9.0000,5.0000,45,6,0.1333333333,17,1,0.0588235294,57,7,0.1228070175,5,0.0806451613,5919.96,7545.19,0,1,50_99,393,0.0780768749,0.07638571932468,0.0356083086,0.0666666667,0.1016949153,0.1428571429,0.1752577320,1,0,0,1,1,1,75,inconclusive,date_vs_timestamp_action_conflict
900ba814c251a692506d7834c1218441,SP,salto,54,6,48,0.1111111111,11.1,6 / 54,6,0.1111111111,11.1,-8.0000,3.5000,31,3,0.0967741935,23,3,0.1304347826,52,6,0.1153846154,2,0.0370370370,18264.74,19744.38,0,1,50_99,393,0.0780768749,0.07638571932468,0.0356083086,0.0666666667,0.1016949153,0.1428571429,0.1752577320,1,0,0,1,0,1,80,inconclusive,date_vs_timestamp_action_conflict
a3e9a2c700480d9bb01fba070ba80a0e,SP,ibitinga,73,8,65,0.1095890411,11.0,8 / 73,8,0.1095890411,11.0,-13.0000,7.5000,37,8,0.2162162162,36,0,0.0000000000,67,8,0.1194029851,6,0.0821917808,7836.90,9295.29,2,1,50_99,393,0.0780768749,0.07638571932468,0.0356083086,0.0666666667,0.1016949153,0.1428571429,0.1752577320,1,0,0,1,1,1,81,inconclusive,date_vs_timestamp_action_conflict
5b925e1d006e9476d738aa200751b73b,SP,sao paulo,37,4,33,0.1081081081,10.8,4 / 37,4,0.1081081081,10.8,-14.0000,11.0000,32,4,0.1250000000,5,0,0.0000000000,37,4,0.1081081081,0,0.0000000000,4074.50,4709.87,0,1,30_49,393,0.0780768749,0.07638571932468,0.0356083086,0.0666666667,0.1016949153,0.1428571429,0.1752577320,1,0,0,1,1,1,84,inconclusive,date_vs_timestamp_action_conflict
7ddcbb64b5bc1ef36ca8c151f6ec77df,SP,sao paulo,93,10,83,0.1075268817,10.8,10 / 93,10,0.1075268817,10.8,-13.0000,6.0000,86,9,0.1046511628,7,1,0.1428571429,92,10,0.1086956522,1,0.0107526882,17757.07,20538.67,0,1,50_99,393,0.0780768749,0.07638571932468,0.0356083086,0.0666666667,0.1016949153,0.1428571429,0.1752577320,1,0,0,1,0,1,85,inconclusive,date_vs_timestamp_action_conflict
0dd184061fb0eaa7ca37932c68ab91c5,SP,guarulhos,159,17,142,0.1069182390,10.7,17 / 159,19,0.1194968553,11.9,-11.0000,7.0000,106,16,0.1509433962,53,1,0.0188679245,154,17,0.1103896104,5,0.0314465409,18247.92,23538.82,3,1,100_plus,393,0.0780768749,0.07638571932468,0.0356083086,0.0666666667,0.1016949153,0.1428571429,0.1752577320,1,0,0,1,1,1,87,inconclusive,date_vs_timestamp_action_conflict
522620dcb18a6b31cd7bdf73665113a9,PR,cascavel,94,10,84,0.1063829787,10.6,10 / 94,10,0.1063829787,10.6,-15.0000,9.5000,73,10,0.1369863014,21,0,0.0000000000,92,10,0.1086956522,2,0.0212765957,33827.96,36704.46,0,1,50_99,393,0.0780768749,0.07638571932468,0.0356083086,0.0666666667,0.1016949153,0.1428571429,0.1752577320,1,0,0,1,1,1,89,inconclusive,date_vs_timestamp_action_conflict
17e34d8224d27a541263c4c64b11a56b,SP,riberao preto,85,9,76,0.1058823529,10.6,9 / 85,10,0.1176470588,11.8,-12.0000,11.0000,47,9,0.1914893617,38,0,0.0000000000,85,9,0.1058823529,0,0.0000000000,21728.47,23897.79,0,1,50_99,393,0.0780768749,0.07638571932468,0.0356083086,0.0666666667,0.1016949153,0.1428571429,0.1752577320,1,0,0,1,1,1,91,inconclusive,date_vs_timestamp_action_conflict
